parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,
kf2[2],-6.237251225,0.15404336320202122,0.043315386,12.131008587084596,30.62040693895916,1.0644623218741067,0.020622444444021594,-6.24
kf2[3],-6.852970079,0.29302192149577383,0.12457074188885803,9.169849086,20.061905307806974,1.451779744467937,0.015588539236628689,-6.85
kf2[4],-7.068364114,0.32116793376707625,0.2654741528536708,1.4893653767935011,21.594274432379073,2.068151185200835,0.002531888,-7.07
kf2[5],-7.938828953,0.46501562524334056,0.25822915441221556,3.677000190823746,21.024628850939674,1.2050930171527352,0.006250818,-7.94
kf2[6],-8.540691067,0.38063563268930556,0.16211111217632404,6.858481293135989,21.024628850939674,1.621912921406658,0.011659265461953628,-8.54
kf2[7],-8.811912714,0.434219442,0.2899326190506079,4.405031325,13.072104662206135,1.727694390607293,0.007488455,-8.81
kf2[8],-9.278519491,0.5909103330179023,0.47189580792214475,1.652453614856427,21.024628850939674,1.7837380891747896,0.002809134,-9.28
kf2[9],-9.735460045,0.13649271366989824,0.042247702088197996,10.589358373727725,21.024628850939678,1.0457566584998583,0.018001673413415416,-9.74
kf2[10],-10.94546038,0.4346579048725796,0.26067290048508496,6.241534509357165,21.02462885093967,1.535141889112816,0.01061047,-10.95
kf2[11],-11.66954447,0.13412388831367203,0.090047753,2.535179655346436,21.024628850939674,1.4112251081078533,0.004309749,-11.67
kf2[12],-12.19757475,0.31407911594547083,0.25177155153160286,1.845480468487313,17.359388949508997,1.6490296899784964,0.003137276,-12.20
kf2[13],-13.42795207,0.24341614269249912,0.087774476,8.94821523,12.73905221451524,1.0199633884473955,0.015211766616757326,-13.43
kf2[14],-14.25430614,0.29779987363532684,0.20953688309042925,1.8364100411079682,15.555555555555564,1.6296133570763867,0.003121856,-14.25
kf2[15],-14.18345271,0.18928978632062313,0.060835361,11.170311762566895,31.089003375377573,1.267865439,0.018989281236779516,-14.18
kf3[1],-3.211801432,0.9842913477975559,0.6765349622758415,3.9581787140640152,12.936815536851437,1.2072214379338335,0.006728816,-3.21
kf3[2],-4.832073259,0.39607791221133215,0.2609226731524207,2.5822660476022703,20.06190530780697,1.3563060988774052,0.004389795,-4.83
kf3[3],-5.52111488,0.19697939258252517,0.14053539366986678,2.0850749150968886,21.024628850939678,1.515051704738507,0.003544581,-5.52
kf3[4],-6.269584398,0.28993829671374954,0.092811281,10.55734773210851,21.024628850939674,1.207313515227669,0.017947256,-6.27
