"model","year","age_group","education","n_observations","mse","rmse"
"Model B",2017,"25-29","Primary",1,1.89183140265083e-07,0.000434951882700929
"Model B",2017,"25-29","Secondary",1,1.15275853198452e-09,3.39522978896056e-05
"Model B",2017,"30-34","No Formal Education",1,0.000130399861059235,0.0114192758552911
"Model B",2017,"30-34","Post Secondary",1,9.97559379180058e-07,0.000998778944101275
"Model B",2017,"30-34","Primary",1,5.31407562762753e-06,0.00230522789060594
"Model B",2017,"30-34","Secondary",1,1.48494883330299e-05,0.00385350338432833
"Model B",2017,"35-39","No Formal Education",1,0.00113590985961684,0.0337032618542604
"Model B",2017,"35-39","Post Secondary",1,0.00322757411159242,0.0568117427262394
"Model B",2017,"35-39","Primary",1,0.00100826002461767,0.0317531104715376
"Model B",2017,"35-39","Secondary",1,7.28892438771032e-05,0.00853751977316031
"Model B",2017,"40-44","No Formal Education",1,0.45451579213589,0.67417786387265
"Model B",2017,"40-44","Post Secondary",1,0.0313439216325504,0.177042146486509
"Model B",2017,"40-44","Primary",1,0.0171847856428093,0.131090753460377
"Model B",2017,"40-44","Secondary",1,0.00763934271434259,0.0874033335425062
"Model B",2018,"15-19","No Formal Education",1,1.94811745002102e-06,0.00139574978059143
"Model B",2018,"15-19","Post Secondary",1,2.04673575617274e-09,4.52408637867663e-05
"Model B",2018,"15-19","Primary",1,3.0318040825259e-08,0.000174120765060515
"Model B",2018,"15-19","Secondary",1,2.14515685988056e-08,0.000146463540168895
"Model B",2018,"20-24","No Formal Education",1,1.0607345872027e-05,0.0032568920571654
"Model B",2018,"20-24","Post Secondary",1,1.51847753480816e-08,0.000123226520473807
"Model B",2018,"20-24","Primary",1,6.93669517444427e-10,2.63376065245957e-05
"Model B",2018,"20-24","Secondary",1,6.47857840033977e-10,2.545305168411e-05
"Model B",2018,"25-29","No Formal Education",1,3.25343543731895e-06,0.00180372820494634
"Model B",2018,"25-29","Post Secondary",1,7.21920561897282e-08,0.000268685794543977
"Model B",2018,"25-29","Primary",1,1.60476065553212e-07,0.000400594639945684
"Model B",2018,"25-29","Secondary",1,3.33849899022536e-07,0.000577797455015627
"Model B",2018,"30-34","No Formal Education",1,0.000474833274731588,0.0217906694420247
"Model B",2018,"30-34","Post Secondary",1,3.28655530185056e-07,0.00057328485954633
"Model B",2018,"30-34","Primary",1,1.5067152936961e-06,0.00122748331707445
"Model B",2018,"30-34","Secondary",1,3.60037290448091e-05,0.00600031074568719
"Model B",2018,"35-39","No Formal Education",1,0.000428095089797099,0.0206904589073587
"Model B",2018,"35-39","Post Secondary",1,0.000752304382593063,0.0274281676856669
"Model B",2018,"35-39","Primary",1,0.000588621594114801,0.0242615249750464
"Model B",2018,"35-39","Secondary",1,0.00102843788374758,0.0320692669661715
"Model B",2018,"40-44","No Formal Education",1,0.292252757354846,0.540604067090552
"Model B",2018,"40-44","Post Secondary",1,0.000291119809779025,0.0170622334346657
"Model B",2018,"40-44","Primary",1,0.173169648205417,0.416136573981928
"Model B",2018,"40-44","Secondary",1,0.216867090645091,0.465689908249139
"Model C",2014,"15-19","No Formal Education",1,1.2532566414546e-07,0.000354013649659812
"Model C",2014,"15-19","Post Secondary",1,8.56510277620982e-09,9.25478404729674e-05
"Model C",2014,"15-19","Primary",1,8.74912274297828e-11,9.35367454157898e-06
"Model C",2014,"15-19","Secondary",1,4.01543132017826e-09,6.3367431068162e-05
"Model C",2014,"20-24","No Formal Education",1,8.43561335277671e-08,0.000290441273802067
"Model C",2014,"20-24","Post Secondary",1,1.67699628624461e-08,0.00012949889135605
"Model C",2014,"20-24","Primary",1,8.47926307878445e-07,0.00092082914152325
"Model C",2014,"20-24","Secondary",1,1.83521354484473e-08,0.000135470053696185
"Model C",2014,"25-29","No Formal Education",1,6.64403183152028e-08,0.000257760195366163
"Model C",2014,"25-29","Post Secondary",1,5.26193804794099e-08,0.000229389146385373
"Model C",2014,"25-29","Primary",1,1.70884078386257e-09,4.13381274837477e-05
"Model C",2014,"25-29","Secondary",1,5.66653543498074e-10,2.3804485785206e-05
"Model C",2014,"30-34","No Formal Education",1,5.94619439508196e-07,0.00077111571084254
"Model C",2014,"30-34","Post Secondary",1,1.30473339253478e-06,0.00114224926900164
"Model C",2014,"30-34","Primary",1,2.08246191787976e-05,0.00456339995823263
"Model C",2014,"30-34","Secondary",1,3.57630124749144e-09,5.98021843036811e-05
"Model C",2014,"35-39","No Formal Education",1,4.70813915611973e-05,0.0068615881223808
"Model C",2014,"35-39","Post Secondary",1,0.000506003820512779,0.0224945286794985
"Model C",2014,"35-39","Primary",1,0.00098952534675044,0.0314567218055289
"Model C",2014,"35-39","Secondary",1,0.000176072517483178,0.0132692319854307
"Model C",2014,"40-44","No Formal Education",1,0.00215086268339079,0.0463773940987502
"Model C",2014,"40-44","Post Secondary",1,0.0030818883423568,0.0555147578789352
"Model C",2014,"40-44","Primary",1,0.0538268280089452,0.232006094766808
"Model C",2014,"40-44","Secondary",1,0.00188764371778275,0.0434470219667902
"Model C",2015,"15-19","No Formal Education",1,3.40755302345075e-09,5.83742496607087e-05
