"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",2014,"Age 05","Male","Post Secondary",1,3.18386029439708e-06,0.00178433749453322,"model_year_age_group_sex_education",0.00178433749453322,0,TRUE
"Model A",2014,"Age 05","Male","Primary",1,1.51517390740762e-06,0.00123092400553715,"model_year_age_group_sex_education",0.00123092400553715,0,TRUE
"Model A",2014,"Age 05","Male","Secondary",1,5.1263026507915e-07,0.000715982028461015,"model_year_age_group_sex_education",0.000715982028461015,0,TRUE
"Model A",2014,"Age 06","Female","No Formal Education",1,0.000641286216396587,0.0253236296055006,"model_year_age_group_sex_education",0.0253236296055006,0,TRUE
"Model A",2014,"Age 06","Female","Post Secondary",1,2.53627071893131e-05,0.00503614010818931,"model_year_age_group_sex_education",0.00503614010818931,0,TRUE
"Model A",2014,"Age 06","Female","Primary",1,7.64531724115599e-07,0.000874375047743015,"model_year_age_group_sex_education",0.000874375047743015,0,TRUE
"Model A",2014,"Age 06","Female","Secondary",1,3.73996542424389e-05,0.00611552567179952,"model_year_age_group_sex_education",0.00611552567179952,0,TRUE
"Model A",2014,"Age 06","Male","No Formal Education",1,6.90242895928162e-05,0.008308085795947,"model_year_age_group_sex_education",0.008308085795947,0,TRUE
"Model A",2014,"Age 06","Male","Post Secondary",1,1.66838789380951e-05,0.00408459042476661,"model_year_age_group_sex_education",0.00408459042476661,0,TRUE
"Model A",2014,"Age 06","Male","Primary",1,3.24951627981264e-06,0.00180264147289821,"model_year_age_group_sex_education",0.00180264147289821,0,TRUE
"Model A",2014,"Age 06","Male","Secondary",1,2.42352836552781e-05,0.00492293445571623,"model_year_age_group_sex_education",0.00492293445571623,0,TRUE
"Model A",2014,"Age 07","Female","No Formal Education",1,0.000124419909606441,0.0111543672884857,"model_year_age_group_sex_education",0.0111543672884857,0,TRUE
"Model A",2014,"Age 07","Female","Post Secondary",1,6.82791286258982e-06,0.00261302752809645,"model_year_age_group_sex_education",0.00261302752809645,0,TRUE
"Model A",2014,"Age 07","Female","Primary",1,3.92245630109498e-07,0.00062629516213164,"model_year_age_group_sex_education",0.00062629516213164,0,TRUE
"Model A",2014,"Age 07","Female","Secondary",1,1.45332703667521e-05,0.00381225266302643,"model_year_age_group_sex_education",0.00381225266302643,0,TRUE
"Model A",2014,"Age 07","Male","No Formal Education",1,0.000132983970134239,0.0115318675909082,"model_year_age_group_sex_education",0.0115318675909082,0,TRUE
"Model A",2014,"Age 07","Male","Post Secondary",1,5.19477675430118e-06,0.00227920529007397,"model_year_age_group_sex_education",0.00227920529007397,0,TRUE
"Model A",2014,"Age 07","Male","Primary",1,5.94682000235775e-07,0.000771156274846918,"model_year_age_group_sex_education",0.000771156274846918,0,TRUE
"Model A",2014,"Age 07","Male","Secondary",1,1.92537846942007e-05,0.00438791347843148,"model_year_age_group_sex_education",0.00438791347843148,0,TRUE
"Model A",2014,"Age 08","Female","No Formal Education",1,0.0003512074626407,0.0187405299455672,"model_year_age_group_sex_education",0.0187405299455672,0,TRUE
"Model A",2014,"Age 08","Female","Post Secondary",1,4.62638254149804e-06,0.00215090272711205,"model_year_age_group_sex_education",0.00215090272711205,0,TRUE
"Model A",2014,"Age 08","Female","Primary",1,6.41375191432679e-06,0.00253253863037206,"model_year_age_group_sex_education",0.00253253863037206,0,TRUE
"Model A",2014,"Age 08","Female","Secondary",1,2.95667288128745e-05,0.00543752966087307,"model_year_age_group_sex_education",0.00543752966087307,0,TRUE
"Model A",2014,"Age 08","Male","No Formal Education",1,0.000102329422771339,0.0101158006490509,"model_year_age_group_sex_education",0.0101158006490509,0,TRUE
"Model A",2014,"Age 08","Male","Post Secondary",1,5.69439958744875e-06,0.00238629411168212,"model_year_age_group_sex_education",0.00238629411168212,0,TRUE
"Model A",2014,"Age 08","Male","Primary",1,7.18702174416527e-06,0.002680862127034,"model_year_age_group_sex_education",0.002680862127034,0,TRUE
"Model A",2014,"Age 08","Male","Secondary",1,1.11624935636791e-08,0.000105652702585779,"model_year_age_group_sex_education",0.000105652702585779,0,TRUE
"Model A",2014,"Age 09","Female","No Formal Education",1,3.36813856327309e-06,0.00183524891044051,"model_year_age_group_sex_education",0.00183524891044051,0,TRUE
"Model A",2014,"Age 09","Female","Post Secondary",1,1.212026439032e-05,0.00348141700896631,"model_year_age_group_sex_education",0.00348141700896631,0,TRUE
"Model A",2014,"Age 09","Female","Primary",1,1.15219587676852e-06,0.00107340387402344,"model_year_age_group_sex_education",0.00107340387402344,0,TRUE
"Model A",2014,"Age 09","Female","Secondary",1,3.41621751042125e-06,0.00184830124991064,"model_year_age_group_sex_education",0.00184830124991064,0,TRUE
"Model A",2014,"Age 09","Male","No Formal Education",1,5.43582951078717e-07,0.00073728078170987,"model_year_age_group_sex_education",0.00073728078170987,0,TRUE
"Model A",2014,"Age 09","Male","Post Secondary",1,8.61966347838619e-07,0.000928421427929482,"model_year_age_group_sex_education",0.000928421427929482,0,TRUE
"Model A",2014,"Age 09","Male","Primary",1,1.89642767428507e-06,0.00137710844681349,"model_year_age_group_sex_education",0.00137710844681349,0,TRUE
"Model A",2014,"Age 09","Male","Secondary",1,8.1967230663803e-06,0.00286299197805029,"model_year_age_group_sex_education",0.00286299197805029,0,TRUE
"Model A",2014,"Age 10","Female","No Formal Education",1,1.08663921666416e-05,0.00329642111488226,"model_year_age_group_sex_education",0.00329642111488226,0,TRUE
"Model A",2014,"Age 10","Female","Post Secondary",1,1.87225121596047e-05,0.00432695183236476,"model_year_age_group_sex_education",0.00432695183236476,0,TRUE
"Model A",2014,"Age 10","Female","Primary",1,6.20768778442667e-07,0.000787888810964255,"model_year_age_group_sex_education",0.000787888810964255,0,TRUE
"Model A",2014,"Age 10","Female","Secondary",1,0.000125117150082269,0.0111855777714998,"model_year_age_group_sex_education",0.0111855777714998,0,TRUE
"Model A",2014,"Age 10","Male","No Formal Education",1,2.02033703735877e-05,0.00449481594435053,"model_year_age_group_sex_education",0.00449481594435053,0,TRUE
"Model A",2014,"Age 10","Male","Post Secondary",1,9.04445068721013e-08,0.000300739932287186,"model_year_age_group_sex_education",0.000300739932287186,0,TRUE
"Model A",2014,"Age 10","Male","Primary",1,3.24243984686411e-06,0.00180067760769775,"model_year_age_group_sex_education",0.00180067760769775,0,TRUE
"Model A",2014,"Age 10","Male","Secondary",1,0.000402987979922349,0.020074560516294,"model_year_age_group_sex_education",0.020074560516294,0,TRUE
"Model A",2014,"Age 11","Female","No Formal Education",1,2.25271856921387e-07,0.000474628124873977,"model_year_age_group_sex_education",0.000474628124873977,0,TRUE
"Model A",2014,"Age 11","Female","Post Secondary",1,2.32762226418763e-06,0.00152565470018207,"model_year_age_group_sex_education",0.00152565470018207,0,TRUE
"Model A",2014,"Age 11","Female","Primary",1,4.69381397643836e-08,0.00021665211691646,"model_year_age_group_sex_education",0.00021665211691646,0,TRUE
"Model A",2014,"Age 11","Female","Secondary",1,1.31853907515625e-05,0.00363116933666863,"model_year_age_group_sex_education",0.00363116933666863,0,TRUE
