"model","year","age_group","sex","education","n_observations","mse","rmse","grouping","sqrt_mse","diff","within_tolerance"
"Model A",2017,"40-44",,"No Formal Education",1,0.751457076054281,0.866866238847886,"model_year_age_group_education",0.866866238847886,0,TRUE
"Model A",2017,"40-44",,"Post Secondary",1,0.0526443116100672,0.229443482387422,"model_year_age_group_education",0.229443482387422,0,TRUE
"Model A",2017,"40-44",,"Primary",1,8.63077412259501e-06,0.00293781791855707,"model_year_age_group_education",0.00293781791855707,0,TRUE
"Model A",2017,"40-44",,"Secondary",1,2.43639713963091e-06,0.00156089626164935,"model_year_age_group_education",0.00156089626164935,0,TRUE
"Model A",2018,"15-19",,"No Formal Education",1,6.53088379515079e-08,0.000255555938986962,"model_year_age_group_education",0.000255555938986962,0,TRUE
"Model A",2018,"15-19",,"Post Secondary",1,3.3286119224904e-08,0.000182444838855211,"model_year_age_group_education",0.000182444838855211,0,TRUE
"Model A",2018,"15-19",,"Primary",1,1.40102678568015e-08,0.000118364977323537,"model_year_age_group_education",0.000118364977323537,0,TRUE
"Model A",2018,"15-19",,"Secondary",1,2.23617121701876e-09,4.72881720625651e-05,"model_year_age_group_education",4.72881720625651e-05,0,TRUE
"Model A",2018,"20-24",,"No Formal Education",1,2.2412154933629e-05,0.004734147751563,"model_year_age_group_education",0.004734147751563,0,TRUE
"Model A",2018,"20-24",,"Post Secondary",1,1.96428130574388e-07,0.000443202132863085,"model_year_age_group_education",0.000443202132863085,0,TRUE
"Model A",2018,"20-24",,"Primary",1,1.46058739753371e-06,0.00120854763974521,"model_year_age_group_education",0.00120854763974521,0,TRUE
"Model A",2018,"20-24",,"Secondary",1,2.71859046602903e-09,5.21401042004044e-05,"model_year_age_group_education",5.21401042004044e-05,0,TRUE
"Model A",2018,"25-29",,"No Formal Education",1,1.77894149255759e-07,0.000421774998376812,"model_year_age_group_education",0.000421774998376812,0,TRUE
"Model A",2018,"25-29",,"Post Secondary",1,1.59596712875687e-06,0.00126331592594919,"model_year_age_group_education",0.00126331592594919,0,TRUE
"Model A",2018,"25-29",,"Primary",1,6.49138487886965e-07,0.000805691310544532,"model_year_age_group_education",0.000805691310544532,0,TRUE
"Model A",2018,"25-29",,"Secondary",1,3.29162289704497e-07,0.000573726668113395,"model_year_age_group_education",0.000573726668113395,0,TRUE
"Model A",2018,"30-34",,"No Formal Education",1,0.000754226371057442,0.0274631820999942,"model_year_age_group_education",0.0274631820999942,0,TRUE
"Model A",2018,"30-34",,"Post Secondary",1,3.63885442807313e-06,0.00190757815778886,"model_year_age_group_education",0.00190757815778886,0,TRUE
"Model A",2018,"30-34",,"Primary",1,4.08861153065427e-05,0.00639422515294408,"model_year_age_group_education",0.00639422515294408,0,TRUE
"Model A",2018,"30-34",,"Secondary",1,2.81277019714971e-05,0.00530355559709683,"model_year_age_group_education",0.00530355559709683,0,TRUE
"Model A",2018,"35-39",,"No Formal Education",1,0.00359702456484895,0.0599751995815683,"model_year_age_group_education",0.0599751995815683,0,TRUE
"Model A",2018,"35-39",,"Post Secondary",1,1.16798415460805e-05,0.00341757831601275,"model_year_age_group_education",0.00341757831601275,0,TRUE
"Model A",2018,"35-39",,"Primary",1,0.000120742086184874,0.0109882703909612,"model_year_age_group_education",0.0109882703909612,0,TRUE
"Model A",2018,"35-39",,"Secondary",1,0.000895052042820726,0.0299174203904803,"model_year_age_group_education",0.0299174203904803,0,TRUE
"Model A",2018,"40-44",,"No Formal Education",1,0.106177740850422,0.325849260932755,"model_year_age_group_education",0.325849260932755,0,TRUE
"Model A",2018,"40-44",,"Post Secondary",1,0.00178314617906281,0.0422273155559623,"model_year_age_group_education",0.0422273155559623,0,TRUE
"Model A",2018,"40-44",,"Primary",1,0.139057659981458,0.372904357686335,"model_year_age_group_education",0.372904357686335,0,TRUE
"Model A",2018,"40-44",,"Secondary",1,0.308589550970632,0.555508371647658,"model_year_age_group_education",0.555508371647658,0,TRUE
"Model B",2014,"15-19",,"No Formal Education",1,1.14153107645547e-06,0.00106842457686795,"model_year_age_group_education",0.00106842457686795,0,TRUE
"Model B",2014,"15-19",,"Post Secondary",1,2.46313119754718e-09,4.96299425503111e-05,"model_year_age_group_education",4.96299425503111e-05,0,TRUE
"Model B",2014,"15-19",,"Primary",1,1.5263078489813e-08,0.000123543832261319,"model_year_age_group_education",0.000123543832261319,0,TRUE
"Model B",2014,"15-19",,"Secondary",1,2.71308466858095e-08,0.0001647144398218,"model_year_age_group_education",0.0001647144398218,0,TRUE
"Model B",2014,"20-24",,"No Formal Education",1,1.44436082668581e-05,0.00380047474229972,"model_year_age_group_education",0.00380047474229972,0,TRUE
"Model B",2014,"20-24",,"Post Secondary",1,4.51957439856508e-09,6.72277799615983e-05,"model_year_age_group_education",6.72277799615983e-05,0,TRUE
"Model B",2014,"20-24",,"Primary",1,6.64938350262253e-07,0.00081543752075941,"model_year_age_group_education",0.00081543752075941,0,TRUE
"Model B",2014,"20-24",,"Secondary",1,3.98845491131393e-08,0.000199711164217575,"model_year_age_group_education",0.000199711164217575,0,TRUE
"Model B",2014,"25-29",,"No Formal Education",1,2.25643172638801e-05,0.00475019128708309,"model_year_age_group_education",0.00475019128708309,0,TRUE
"Model B",2014,"25-29",,"Post Secondary",1,1.25018234949753e-08,0.000111811553495045,"model_year_age_group_education",0.000111811553495045,0,TRUE
"Model B",2014,"25-29",,"Primary",1,5.38211143130113e-07,0.000733628750206883,"model_year_age_group_education",0.000733628750206883,0,TRUE
"Model B",2014,"25-29",,"Secondary",1,2.11929463221699e-07,0.000460357972909886,"model_year_age_group_education",0.000460357972909886,0,TRUE
"Model B",2014,"30-34",,"No Formal Education",1,4.07072189975161e-05,0.0063802209207453,"model_year_age_group_education",0.0063802209207453,0,TRUE
"Model B",2014,"30-34",,"Post Secondary",1,3.97422181644619e-07,0.000630414293655068,"model_year_age_group_education",0.000630414293655068,0,TRUE
"Model B",2014,"30-34",,"Primary",1,2.84651526327138e-06,0.00168716189598728,"model_year_age_group_education",0.00168716189598728,0,TRUE
"Model B",2014,"30-34",,"Secondary",1,1.10089030227617e-05,0.00331796670006823,"model_year_age_group_education",0.00331796670006823,0,TRUE
"Model B",2014,"35-39",,"No Formal Education",1,1.7798903764016e-05,0.00421887470352178,"model_year_age_group_education",0.00421887470352178,0,TRUE
"Model B",2014,"35-39",,"Post Secondary",1,0.00165281891517739,0.0406548756630418,"model_year_age_group_education",0.0406548756630418,0,TRUE
"Model B",2014,"35-39",,"Primary",1,0.00117112105447712,0.034221645993101,"model_year_age_group_education",0.034221645993101,0,TRUE
"Model B",2014,"35-39",,"Secondary",1,0.00309263999991709,0.0556115095993365,"model_year_age_group_education",0.0556115095993365,0,TRUE
"Model B",2014,"40-44",,"No Formal Education",1,0.0235072544877771,0.153320756871916,"model_year_age_group_education",0.153320756871916,0,TRUE
"Model B",2014,"40-44",,"Post Secondary",1,0.0398932959172735,0.199733061652981,"model_year_age_group_education",0.199733061652981,0,TRUE
"Model B",2014,"40-44",,"Primary",1,0.0590808382464125,0.243065501966882,"model_year_age_group_education",0.243065501966882,0,TRUE
"Model B",2014,"40-44",,"Secondary",1,0.00126749453925322,0.0356018895461072,"model_year_age_group_education",0.0356018895461072,0,TRUE
"Model B",2015,"15-19",,"No Formal Education",1,8.72003459359064e-07,0.000933811254675732,"model_year_age_group_education",0.000933811254675732,0,TRUE
"Model B",2015,"15-19",,"Post Secondary",1,2.36320231660448e-09,4.86127793548619e-05,"model_year_age_group_education",4.86127793548619e-05,0,TRUE
"Model B",2015,"15-19",,"Primary",1,9.5386257385259e-09,9.76658883056203e-05,"model_year_age_group_education",9.76658883056203e-05,0,TRUE
"Model B",2015,"15-19",,"Secondary",1,6.63612887676892e-09,8.14624384410934e-05,"model_year_age_group_education",8.14624384410934e-05,0,TRUE
"Model B",2015,"20-24",,"No Formal Education",1,6.9894175130456e-06,0.00264375065258537,"model_year_age_group_education",0.00264375065258537,0,TRUE
"Model B",2015,"20-24",,"Post Secondary",1,5.08987967112441e-08,0.000225607616695989,"model_year_age_group_education",0.000225607616695989,0,TRUE
"Model B",2015,"20-24",,"Primary",1,3.84133679529925e-07,0.000619785188214372,"model_year_age_group_education",0.000619785188214372,0,TRUE
"Model B",2015,"20-24",,"Secondary",1,2.54052163773883e-10,1.5939013889632e-05,"model_year_age_group_education",1.5939013889632e-05,0,TRUE
"Model B",2015,"25-29",,"No Formal Education",1,5.66629488557547e-05,0.00752747958188893,"model_year_age_group_education",0.00752747958188893,0,TRUE
"Model B",2015,"25-29",,"Post Secondary",1,8.42789193287674e-09,9.18035507639914e-05,"model_year_age_group_education",9.18035507639914e-05,0,TRUE
"Model B",2015,"25-29",,"Primary",1,3.32341926601737e-08,0.000182302475737917,"model_year_age_group_education",0.000182302475737917,0,TRUE
"Model B",2015,"25-29",,"Secondary",1,4.12771451739932e-08,0.000203167775924218,"model_year_age_group_education",0.000203167775924218,0,TRUE
"Model B",2015,"30-34",,"No Formal Education",1,8.98363800830781e-05,0.00947820553074674,"model_year_age_group_education",0.00947820553074674,0,TRUE
"Model B",2015,"30-34",,"Post Secondary",1,3.4184528532862e-09,5.84675367472087e-05,"model_year_age_group_education",5.84675367472087e-05,0,TRUE
"Model B",2015,"30-34",,"Primary",1,4.54521226116235e-06,0.00213195034209579,"model_year_age_group_education",0.00213195034209579,0,TRUE
"Model B",2015,"30-34",,"Secondary",1,1.31330043153069e-05,0.00362394871863647,"model_year_age_group_education",0.00362394871863647,0,TRUE
"Model B",2015,"35-39",,"No Formal Education",1,0.00285750022076434,0.0534555911085486,"model_year_age_group_education",0.0534555911085486,0,TRUE
"Model B",2015,"35-39",,"Post Secondary",1,4.9936211763597e-05,0.00706655586290783,"model_year_age_group_education",0.00706655586290783,0,TRUE
